CPU,Memória,Armazenamento,Largura de Banda,Preço/Mês
1 CPU,1 GB,25 GB,1000 GB,5.00
1 CPU,2 GB,50 GB,2 TB,10.00
2 CPU,2 GB,60 GB,3 TB,15.00
2 CPU,4 GB,80 GB,4 TB,20.00
4 CPU,8 GB,160 GB,5 TB,40.00
8 CPU,16 GB,320 GB,6 TB,80.00
